Lugar de residencia;Anual;Sexo;Medida;Valor;
Alfarnate;2013;Hombres;Crecimiento vegetativo;-6;
Alfarnate;2013;Mujeres;Crecimiento vegetativo;-5;
Alfarnate;2014;Ambos sexos;Crecimiento vegetativo;-7;
Alfarnate;2014;Hombres;Crecimiento vegetativo;-3;
Alfarnate;2014;Mujeres;Crecimiento vegetativo;-4;
Alfarnate;2015;Ambos sexos;Crecimiento vegetativo;-10;
Alfarnate;2015;Hombres;Crecimiento vegetativo;-6;
Alfarnate;2015;Mujeres;Crecimiento vegetativo;-4;
Alfarnate;2016;Ambos sexos;Crecimiento vegetativo;-18;
Alfarnate;2016;Hombres;Crecimiento vegetativo;-9;
Alfarnate;2016;Mujeres;Crecimiento vegetativo;-9;
Alfarnate;2017;Ambos sexos;Crecimiento vegetativo;-5;
Alfarnate;2017;Hombres;Crecimiento vegetativo;0;
Alfarnate;2017;Mujeres;Crecimiento vegetativo;-5;
Alfarnate;2018;Ambos sexos;Crecimiento vegetativo;-12;
Alfarnate;2018;Hombres;Crecimiento vegetativo;-6;
Alfarnate;2018;Mujeres;Crecimiento vegetativo;-6;
Alfarnate;2019;Ambos sexos;Crecimiento vegetativo;-17;
Alfarnate;2019;Hombres;Crecimiento vegetativo;-11;
Alfarnate;2019;Mujeres;Crecimiento vegetativo;-6;
Alfarnate;2020;Ambos sexos;Crecimiento vegetativo;-16;
Alfarnate;2020;Hombres;Crecimiento vegetativo;-8;
Alfarnate;2020;Mujeres;Crecimiento vegetativo;-8;
Alfarnate;2021;Ambos sexos;Crecimiento vegetativo;-19;
Alfarnate;2021;Hombres;Crecimiento vegetativo;-11;
Alfarnate;2021;Mujeres;Crecimiento vegetativo;-8;
Alfarnate;2022;Ambos sexos;Crecimiento vegetativo;-5;
Alfarnate;2022;Hombres;Crecimiento vegetativo;-1;
Alfarnate;2022;Mujeres;Crecimiento vegetativo;-4;
Alfarnate;2023;Ambos sexos;Crecimiento vegetativo;-8;
Alfarnate;2023;Hombres;Crecimiento vegetativo;-5;
Alfarnate;2023;Mujeres;Crecimiento vegetativo;-3;
Alfarnatejo;1996;Ambos sexos;Crecimiento vegetativo;-1;
Alfarnatejo;1996;Hombres;Crecimiento vegetativo;-1;
Alfarnatejo;1996;Mujeres;Crecimiento vegetativo;-;
Alfarnatejo;1997;Ambos sexos;Crecimiento vegetativo;-6;
Alfarnatejo;1997;Hombres;Crecimiento vegetativo;-6;
Alfarnatejo;1997;Mujeres;Crecimiento vegetativo;0;
Alfarnatejo;1998;Ambos sexos;Crecimiento vegetativo;-8;
Alfarnatejo;1998;Hombres;Crecimiento vegetativo;-5;
Alfarnatejo;1998;Mujeres;Crecimiento vegetativo;-3;
Alfarnatejo;1999;Ambos sexos;Crecimiento vegetativo;-3;
Alfarnatejo;1999;Hombres;Crecimiento vegetativo;-2;
Alfarnatejo;1999;Mujeres;Crecimiento vegetativo;-1;
Alfarnatejo;2000;Ambos sexos;Crecimiento vegetativo;0;
Alfarnatejo;2000;Hombres;Crecimiento vegetativo;0;
Alfarnatejo;2000;Mujeres;Crecimiento vegetativo;0;
Alfarnatejo;2001;Ambos sexos;Crecimiento vegetativo;-1;
Alfarnatejo;2001;Hombres;Crecimiento vegetativo;0;
Alfarnatejo;2001;Mujeres;Crecimiento vegetativo;-1;
Alfarnatejo;2002;Ambos sexos;Crecimiento vegetativo;-1;
Alfarnatejo;2002;Hombres;Crecimiento vegetativo;-2;
Alfarnatejo;2002;Mujeres;Crecimiento vegetativo;1;
