Lugar de residencia;Anual;Sexo;Medida;Valor;
Albolote;2017;Ambos sexos;Crecimiento vegetativo;36;
Albolote;2017;Hombres;Crecimiento vegetativo;12;
Albolote;2017;Mujeres;Crecimiento vegetativo;24;
Albolote;2018;Ambos sexos;Crecimiento vegetativo;21;
Albolote;2018;Hombres;Crecimiento vegetativo;-11;
Albolote;2018;Mujeres;Crecimiento vegetativo;32;
Albolote;2019;Ambos sexos;Crecimiento vegetativo;61;
Albolote;2019;Hombres;Crecimiento vegetativo;22;
Albolote;2019;Mujeres;Crecimiento vegetativo;39;
Albolote;2020;Ambos sexos;Crecimiento vegetativo;-8;
Albolote;2020;Hombres;Crecimiento vegetativo;-27;
Albolote;2020;Mujeres;Crecimiento vegetativo;19;
Albolote;2021;Ambos sexos;Crecimiento vegetativo;52;
Albolote;2021;Hombres;Crecimiento vegetativo;25;
Albolote;2021;Mujeres;Crecimiento vegetativo;27;
Albolote;2022;Ambos sexos;Crecimiento vegetativo;16;
Albolote;2022;Hombres;Crecimiento vegetativo;-5;
Albolote;2022;Mujeres;Crecimiento vegetativo;21;
Albolote;2023;Ambos sexos;Crecimiento vegetativo;-6;
Albolote;2023;Hombres;Crecimiento vegetativo;-3;
Albolote;2023;Mujeres;Crecimiento vegetativo;-3;
Albondón;2010;Ambos sexos;Crecimiento vegetativo;-6;
Albondón;2010;Hombres;Crecimiento vegetativo;-4;
Albondón;2010;Mujeres;Crecimiento vegetativo;-2;
Albondón;2011;Ambos sexos;Crecimiento vegetativo;-5;
Albondón;2011;Hombres;Crecimiento vegetativo;-2;
Albondón;2011;Mujeres;Crecimiento vegetativo;-3;
Albondón;2012;Ambos sexos;Crecimiento vegetativo;-9;
Albondón;2012;Hombres;Crecimiento vegetativo;-3;
Albondón;2012;Mujeres;Crecimiento vegetativo;-6;
Albondón;2013;Ambos sexos;Crecimiento vegetativo;-6;
Albondón;2013;Hombres;Crecimiento vegetativo;-5;
Albondón;2013;Mujeres;Crecimiento vegetativo;-1;
Albondón;2014;Ambos sexos;Crecimiento vegetativo;-8;
Albondón;2014;Hombres;Crecimiento vegetativo;-2;
Albondón;2014;Mujeres;Crecimiento vegetativo;-6;
Albondón;2015;Ambos sexos;Crecimiento vegetativo;-10;
Albondón;2015;Hombres;Crecimiento vegetativo;-4;
Albondón;2015;Mujeres;Crecimiento vegetativo;-6;
Albondón;2016;Ambos sexos;Crecimiento vegetativo;-7;
Albondón;2016;Hombres;Crecimiento vegetativo;-6;
Albondón;2016;Mujeres;Crecimiento vegetativo;-1;
Albondón;2017;Ambos sexos;Crecimiento vegetativo;-8;
Albondón;2017;Hombres;Crecimiento vegetativo;-5;
Albondón;2017;Mujeres;Crecimiento vegetativo;-3;
Albondón;2018;Ambos sexos;Crecimiento vegetativo;-7;
Albondón;2018;Hombres;Crecimiento vegetativo;-2;
Albondón;2018;Mujeres;Crecimiento vegetativo;-5;
Albondón;2019;Ambos sexos;Crecimiento vegetativo;-9;
Albondón;2019;Hombres;Crecimiento vegetativo;-8;
Albondón;2019;Mujeres;Crecimiento vegetativo;-1;
Albondón;2020;Ambos sexos;Crecimiento vegetativo;-7;
Albondón;2020;Hombres;Crecimiento vegetativo;0;
Albondón;2020;Mujeres;Crecimiento vegetativo;-7;
Albondón;2021;Ambos sexos;Crecimiento vegetativo;-8;
Albondón;2021;Hombres;Crecimiento vegetativo;-3;
Albondón;2021;Mujeres;Crecimiento vegetativo;-5;
Albondón;2022;Ambos sexos;Crecimiento vegetativo;0;
Albondón;2022;Hombres;Crecimiento vegetativo;4;
Albondón;2022;Mujeres;Crecimiento vegetativo;-4;
Albondón;2023;Ambos sexos;Crecimiento vegetativo;-3;
Albondón;2023;Hombres;Crecimiento vegetativo;1;
Albondón;2023;Mujeres;Crecimiento vegetativo;-4;
Albuñán;2010;Ambos sexos;Crecimiento vegetativo;-3;
Albuñán;2010;Hombres;Crecimiento vegetativo;-1;
Albuñán;2010;Mujeres;Crecimiento vegetativo;-2;
Albuñán;2011;Ambos sexos;Crecimiento vegetativo;-8;
Albuñán;2011;Hombres;Crecimiento vegetativo;-6;
Albuñán;2011;Mujeres;Crecimiento vegetativo;-2;
Albuñán;2012;Ambos sexos;Crecimiento vegetativo;-3;
Albuñán;2012;Hombres;Crecimiento vegetativo;-4;
Albuñán;2012;Mujeres;Crecimiento vegetativo;1;
Albuñán;2013;Ambos sexos;Crecimiento vegetativo;-5;
Albuñán;2013;Hombres;Crecimiento vegetativo;-4;
Albuñán;2013;Mujeres;Crecimiento vegetativo;-1;
Albuñán;2014;Ambos sexos;Crecimiento vegetativo;-1;
Albuñán;2014;Hombres;Crecimiento vegetativo;0;
Albuñán;2014;Mujeres;Crecimiento vegetativo;-1;
Albuñán;2015;Ambos sexos;Crecimiento vegetativo;-2;
Albuñán;2015;Hombres;Crecimiento vegetativo;-1;
Albuñán;2015;Mujeres;Crecimiento vegetativo;-1;
Albuñán;2016;Ambos sexos;Crecimiento vegetativo;-5;
Albuñán;2016;Hombres;Crecimiento vegetativo;-3;
Albuñán;2016;Mujeres;Crecimiento vegetativo;-2;
Albuñán;2017;Ambos sexos;Crecimiento vegetativo;-1;
Albuñán;2017;Hombres;Crecimiento vegetativo;-2;
Albuñán;2017;Mujeres;Crecimiento vegetativo;1;
Albuñán;2018;Ambos sexos;Crecimiento vegetativo;-4;
Albuñán;2018;Hombres;Crecimiento vegetativo;-4;
Albuñán;2018;Mujeres;Crecimiento vegetativo;0;
Albuñán;2019;Ambos sexos;Crecimiento vegetativo;-2;
Albuñán;2019;Hombres;Crecimiento vegetativo;-1;
Albuñán;2019;Mujeres;Crecimiento vegetativo;-1;
Albuñán;2020;Ambos sexos;Crecimiento vegetativo;-3;
Albuñán;2020;Hombres;Crecimiento vegetativo;-2;
Albuñán;2020;Mujeres;Crecimiento vegetativo;-1;
