Lugar de residencia;Anual;Sexo;Medida;Valor;
Almonaster la Real;2007;Hombres;Crecimiento vegetativo;-4;
Almonaster la Real;2007;Mujeres;Crecimiento vegetativo;-1;
Almonaster la Real;2008;Ambos sexos;Crecimiento vegetativo;-12;
Almonaster la Real;2008;Hombres;Crecimiento vegetativo;-5;
Almonaster la Real;2008;Mujeres;Crecimiento vegetativo;-7;
Almonaster la Real;2009;Ambos sexos;Crecimiento vegetativo;-27;
Almonaster la Real;2009;Hombres;Crecimiento vegetativo;-15;
Almonaster la Real;2009;Mujeres;Crecimiento vegetativo;-12;
Almonaster la Real;2010;Ambos sexos;Crecimiento vegetativo;-12;
Almonaster la Real;2010;Hombres;Crecimiento vegetativo;-7;
Almonaster la Real;2010;Mujeres;Crecimiento vegetativo;-5;
Almonaster la Real;2011;Ambos sexos;Crecimiento vegetativo;-17;
Almonaster la Real;2011;Hombres;Crecimiento vegetativo;-6;
Almonaster la Real;2011;Mujeres;Crecimiento vegetativo;-11;
Almonaster la Real;2012;Ambos sexos;Crecimiento vegetativo;-12;
Almonaster la Real;2012;Hombres;Crecimiento vegetativo;-4;
Almonaster la Real;2012;Mujeres;Crecimiento vegetativo;-8;
Almonaster la Real;2013;Ambos sexos;Crecimiento vegetativo;-17;
Almonaster la Real;2013;Hombres;Crecimiento vegetativo;-7;
Almonaster la Real;2013;Mujeres;Crecimiento vegetativo;-10;
Almonaster la Real;2014;Ambos sexos;Crecimiento vegetativo;-16;
Almonaster la Real;2014;Hombres;Crecimiento vegetativo;-8;
Almonaster la Real;2014;Mujeres;Crecimiento vegetativo;-8;
Almonaster la Real;2015;Ambos sexos;Crecimiento vegetativo;-11;
Almonaster la Real;2015;Hombres;Crecimiento vegetativo;-4;
Almonaster la Real;2015;Mujeres;Crecimiento vegetativo;-7;
Almonaster la Real;2016;Ambos sexos;Crecimiento vegetativo;-17;
Almonaster la Real;2016;Hombres;Crecimiento vegetativo;-11;
Almonaster la Real;2016;Mujeres;Crecimiento vegetativo;-6;
Almonaster la Real;2017;Ambos sexos;Crecimiento vegetativo;-12;
Almonaster la Real;2017;Hombres;Crecimiento vegetativo;-6;
Almonaster la Real;2017;Mujeres;Crecimiento vegetativo;-6;
Almonaster la Real;2018;Ambos sexos;Crecimiento vegetativo;-16;
Almonaster la Real;2018;Hombres;Crecimiento vegetativo;-9;
Almonaster la Real;2018;Mujeres;Crecimiento vegetativo;-7;
Almonaster la Real;2019;Ambos sexos;Crecimiento vegetativo;-22;
Almonaster la Real;2019;Hombres;Crecimiento vegetativo;-12;
Almonaster la Real;2019;Mujeres;Crecimiento vegetativo;-10;
Almonaster la Real;2020;Ambos sexos;Crecimiento vegetativo;-17;
Almonaster la Real;2020;Hombres;Crecimiento vegetativo;-8;
Almonaster la Real;2020;Mujeres;Crecimiento vegetativo;-9;
Almonaster la Real;2021;Ambos sexos;Crecimiento vegetativo;-11;
Almonaster la Real;2021;Hombres;Crecimiento vegetativo;-8;
Almonaster la Real;2021;Mujeres;Crecimiento vegetativo;-3;
Almonaster la Real;2022;Ambos sexos;Crecimiento vegetativo;-16;
Almonaster la Real;2022;Hombres;Crecimiento vegetativo;-8;
Almonaster la Real;2022;Mujeres;Crecimiento vegetativo;-8;
Almonaster la Real;2023;Ambos sexos;Crecimiento vegetativo;-18;
Almonaster la Real;2023;Hombres;Crecimiento vegetativo;-6;
Almonaster la Real;2023;Mujeres;Crecimiento vegetativo;-12;
Almonte;1996;Ambos sexos;Crecimiento vegetativo;81;
Almonte;1996;Hombres;Crecimiento vegetativo;38;
Almonte;1996;Mujeres;Crecimiento vegetativo;43;
Almonte;1997;Ambos sexos;Crecimiento vegetativo;86;
Almonte;1997;Hombres;Crecimiento vegetativo;42;
Almonte;1997;Mujeres;Crecimiento vegetativo;44;
Almonte;1998;Ambos sexos;Crecimiento vegetativo;65;
Almonte;1998;Hombres;Crecimiento vegetativo;32;
Almonte;1998;Mujeres;Crecimiento vegetativo;33;
Almonte;1999;Ambos sexos;Crecimiento vegetativo;24;
Almonte;1999;Hombres;Crecimiento vegetativo;-13;
Almonte;1999;Mujeres;Crecimiento vegetativo;37;
Almonte;2000;Ambos sexos;Crecimiento vegetativo;48;
Almonte;2000;Hombres;Crecimiento vegetativo;30;
Almonte;2000;Mujeres;Crecimiento vegetativo;18;
Almonte;2001;Ambos sexos;Crecimiento vegetativo;72;
Almonte;2001;Hombres;Crecimiento vegetativo;26;
Almonte;2001;Mujeres;Crecimiento vegetativo;46;
Almonte;2002;Ambos sexos;Crecimiento vegetativo;74;
Almonte;2002;Hombres;Crecimiento vegetativo;30;
Almonte;2002;Mujeres;Crecimiento vegetativo;44;
Almonte;2003;Ambos sexos;Crecimiento vegetativo;58;
Almonte;2003;Hombres;Crecimiento vegetativo;27;
Almonte;2003;Mujeres;Crecimiento vegetativo;31;
Almonte;2004;Ambos sexos;Crecimiento vegetativo;47;
Almonte;2004;Hombres;Crecimiento vegetativo;35;
Almonte;2004;Mujeres;Crecimiento vegetativo;12;
Almonte;2005;Ambos sexos;Crecimiento vegetativo;84;
Almonte;2005;Hombres;Crecimiento vegetativo;46;
Almonte;2005;Mujeres;Crecimiento vegetativo;38;
Almonte;2006;Ambos sexos;Crecimiento vegetativo;86;
Almonte;2006;Hombres;Crecimiento vegetativo;58;
Almonte;2006;Mujeres;Crecimiento vegetativo;28;
Almonte;2007;Ambos sexos;Crecimiento vegetativo;103;
Almonte;2007;Hombres;Crecimiento vegetativo;54;
Almonte;2007;Mujeres;Crecimiento vegetativo;49;
Almonte;2008;Ambos sexos;Crecimiento vegetativo;128;
Almonte;2008;Hombres;Crecimiento vegetativo;82;
Almonte;2008;Mujeres;Crecimiento vegetativo;46;
Almonte;2009;Ambos sexos;Crecimiento vegetativo;91;
Almonte;2009;Hombres;Crecimiento vegetativo;54;
Almonte;2009;Mujeres;Crecimiento vegetativo;37;
Almonte;2010;Ambos sexos;Crecimiento vegetativo;119;
Almonte;2010;Hombres;Crecimiento vegetativo;73;
Almonte;2010;Mujeres;Crecimiento vegetativo;46;
Almonte;2011;Ambos sexos;Crecimiento vegetativo;92;
Almonte;2011;Hombres;Crecimiento vegetativo;46;
Almonte;2011;Mujeres;Crecimiento vegetativo;46;
Almonte;2012;Ambos sexos;Crecimiento vegetativo;73;
Almonte;2012;Hombres;Crecimiento vegetativo;40;
Almonte;2012;Mujeres;Crecimiento vegetativo;33;
Almonte;2013;Ambos sexos;Crecimiento vegetativo;85;
Almonte;2013;Hombres;Crecimiento vegetativo;40;
Almonte;2013;Mujeres;Crecimiento vegetativo;45;
Almonte;2014;Ambos sexos;Crecimiento vegetativo;105;
Almonte;2014;Hombres;Crecimiento vegetativo;57;
Almonte;2014;Mujeres;Crecimiento vegetativo;48;
Almonte;2015;Ambos sexos;Crecimiento vegetativo;109;
Almonte;2015;Hombres;Crecimiento vegetativo;45;
Almonte;2015;Mujeres;Crecimiento vegetativo;64;
Almonte;2016;Ambos sexos;Crecimiento vegetativo;101;
Almonte;2016;Hombres;Crecimiento vegetativo;30;
Almonte;2016;Mujeres;Crecimiento vegetativo;71;
Almonte;2017;Ambos sexos;Crecimiento vegetativo;93;
Almonte;2017;Hombres;Crecimiento vegetativo;42;
Almonte;2017;Mujeres;Crecimiento vegetativo;51;
Almonte;2018;Ambos sexos;Crecimiento vegetativo;92;
Almonte;2018;Hombres;Crecimiento vegetativo;34;
Almonte;2018;Mujeres;Crecimiento vegetativo;58;
