Lugar de destino;Anual;Sexo;Edad;Medida;Valor;
Abla;2020;Mujeres;De 16 a 39 años;Inmigraciones;12;
Abla;2020;Mujeres;De 40 a 64 años;Inmigraciones;12;
Abla;2020;Mujeres;De 65 y más años;Inmigraciones;7;
Abla;2020;Mujeres;TOTAL;Inmigraciones;34;
Abla;2020;Ambos sexos;Menores de 16 años;Inmigraciones;6;
Abla;2020;Ambos sexos;De 16 a 39 años;Inmigraciones;26;
Abla;2020;Ambos sexos;De 40 a 64 años;Inmigraciones;24;
Abla;2020;Ambos sexos;De 65 y más años;Inmigraciones;14;
Abla;2020;Ambos sexos;TOTAL;Inmigraciones;70;
Abla;2021;Hombres;Menores de 16 años;Inmigraciones;8;
Abla;2021;Hombres;De 16 a 39 años;Inmigraciones;16;
Abla;2021;Hombres;De 40 a 64 años;Inmigraciones;14;
Abla;2021;Hombres;De 65 y más años;Inmigraciones;5;
Abla;2021;Hombres;TOTAL;Inmigraciones;43;
Abla;2021;Mujeres;Menores de 16 años;Inmigraciones;2;
Abla;2021;Mujeres;De 16 a 39 años;Inmigraciones;13;
Abla;2021;Mujeres;De 40 a 64 años;Inmigraciones;17;
Abla;2021;Mujeres;De 65 y más años;Inmigraciones;6;
Abla;2021;Mujeres;TOTAL;Inmigraciones;38;
Abla;2021;Ambos sexos;Menores de 16 años;Inmigraciones;10;
Abla;2021;Ambos sexos;De 16 a 39 años;Inmigraciones;29;
Abla;2021;Ambos sexos;De 40 a 64 años;Inmigraciones;31;
Abla;2021;Ambos sexos;De 65 y más años;Inmigraciones;11;
Abla;2021;Ambos sexos;TOTAL;Inmigraciones;81;
Abrucena;2019;Hombres;Menores de 16 años;Inmigraciones;9;
Abrucena;2019;Hombres;De 16 a 39 años;Inmigraciones;18;
Abrucena;2019;Hombres;De 40 a 64 años;Inmigraciones;14;
Abrucena;2019;Hombres;De 65 y más años;Inmigraciones;2;
Abrucena;2019;Hombres;TOTAL;Inmigraciones;43;
Abrucena;2019;Mujeres;Menores de 16 años;Inmigraciones;5;
Abrucena;2019;Mujeres;De 16 a 39 años;Inmigraciones;18;
Abrucena;2019;Mujeres;De 40 a 64 años;Inmigraciones;11;
Abrucena;2019;Mujeres;De 65 y más años;Inmigraciones;-;
Abrucena;2019;Mujeres;TOTAL;Inmigraciones;34;
Abrucena;2019;Ambos sexos;Menores de 16 años;Inmigraciones;14;
Abrucena;2019;Ambos sexos;De 16 a 39 años;Inmigraciones;36;
Abrucena;2019;Ambos sexos;De 40 a 64 años;Inmigraciones;25;
Abrucena;2019;Ambos sexos;De 65 y más años;Inmigraciones;2;
Abrucena;2019;Ambos sexos;TOTAL;Inmigraciones;77;
Abrucena;2020;Hombres;Menores de 16 años;Inmigraciones;6;
Abrucena;2020;Hombres;De 16 a 39 años;Inmigraciones;22;
Abrucena;2020;Hombres;De 40 a 64 años;Inmigraciones;17;
Abrucena;2020;Hombres;De 65 y más años;Inmigraciones;8;
Abrucena;2020;Hombres;TOTAL;Inmigraciones;53;
Abrucena;2020;Mujeres;Menores de 16 años;Inmigraciones;6;
Abrucena;2020;Mujeres;De 16 a 39 años;Inmigraciones;17;
Abrucena;2020;Mujeres;De 40 a 64 años;Inmigraciones;17;
Abrucena;2020;Mujeres;De 65 y más años;Inmigraciones;5;
Abrucena;2020;Mujeres;TOTAL;Inmigraciones;45;
Abrucena;2020;Ambos sexos;Menores de 16 años;Inmigraciones;12;
Abrucena;2020;Ambos sexos;De 16 a 39 años;Inmigraciones;39;
Abrucena;2020;Ambos sexos;De 40 a 64 años;Inmigraciones;34;
Abrucena;2020;Ambos sexos;De 65 y más años;Inmigraciones;13;
Abrucena;2020;Ambos sexos;TOTAL;Inmigraciones;98;
Abrucena;2021;Hombres;Menores de 16 años;Inmigraciones;5;
Abrucena;2021;Hombres;De 16 a 39 años;Inmigraciones;17;
Abrucena;2021;Hombres;De 40 a 64 años;Inmigraciones;17;
Abrucena;2021;Hombres;De 65 y más años;Inmigraciones;6;
Abrucena;2021;Hombres;TOTAL;Inmigraciones;45;
Abrucena;2021;Mujeres;Menores de 16 años;Inmigraciones;7;
Abrucena;2021;Mujeres;De 16 a 39 años;Inmigraciones;18;
Abrucena;2021;Mujeres;De 40 a 64 años;Inmigraciones;10;
Abrucena;2021;Mujeres;De 65 y más años;Inmigraciones;4;
Abrucena;2021;Mujeres;TOTAL;Inmigraciones;39;
Abrucena;2021;Ambos sexos;Menores de 16 años;Inmigraciones;12;
Abrucena;2021;Ambos sexos;De 16 a 39 años;Inmigraciones;35;
Abrucena;2021;Ambos sexos;De 40 a 64 años;Inmigraciones;27;
Abrucena;2021;Ambos sexos;De 65 y más años;Inmigraciones;10;
Abrucena;2021;Ambos sexos;TOTAL;Inmigraciones;84;
Adra;2019;Hombres;Menores de 16 años;Inmigraciones;73;
Adra;2019;Hombres;De 16 a 39 años;Inmigraciones;376;
Adra;2019;Hombres;De 40 a 64 años;Inmigraciones;124;
Adra;2019;Hombres;De 65 y más años;Inmigraciones;19;
Adra;2019;Hombres;TOTAL;Inmigraciones;592;
Adra;2019;Mujeres;Menores de 16 años;Inmigraciones;63;
Adra;2019;Mujeres;De 16 a 39 años;Inmigraciones;187;
Adra;2019;Mujeres;De 40 a 64 años;Inmigraciones;88;
Adra;2019;Mujeres;De 65 y más años;Inmigraciones;20;
Adra;2019;Mujeres;TOTAL;Inmigraciones;358;
Adra;2019;Ambos sexos;Menores de 16 años;Inmigraciones;136;
Adra;2019;Ambos sexos;De 16 a 39 años;Inmigraciones;563;
Adra;2019;Ambos sexos;De 40 a 64 años;Inmigraciones;212;
Adra;2019;Ambos sexos;De 65 y más años;Inmigraciones;39;
Adra;2019;Ambos sexos;TOTAL;Inmigraciones;950;
Adra;2020;Hombres;Menores de 16 años;Inmigraciones;69;
Adra;2020;Hombres;De 16 a 39 años;Inmigraciones;276;
Adra;2020;Hombres;De 40 a 64 años;Inmigraciones;101;
Adra;2020;Hombres;De 65 y más años;Inmigraciones;18;
Adra;2020;Hombres;TOTAL;Inmigraciones;464;
Adra;2020;Mujeres;Menores de 16 años;Inmigraciones;80;
Adra;2020;Mujeres;De 16 a 39 años;Inmigraciones;192;
Adra;2020;Mujeres;De 40 a 64 años;Inmigraciones;82;
Adra;2020;Mujeres;De 65 y más años;Inmigraciones;18;
Adra;2020;Mujeres;TOTAL;Inmigraciones;372;
Adra;2020;Ambos sexos;Menores de 16 años;Inmigraciones;149;
Adra;2020;Ambos sexos;De 16 a 39 años;Inmigraciones;468;
Adra;2020;Ambos sexos;De 40 a 64 años;Inmigraciones;183;
Adra;2020;Ambos sexos;De 65 y más años;Inmigraciones;36;
Adra;2020;Ambos sexos;TOTAL;Inmigraciones;836;
Adra;2021;Hombres;Menores de 16 años;Inmigraciones;62;
Adra;2021;Hombres;De 16 a 39 años;Inmigraciones;253;
Adra;2021;Hombres;De 40 a 64 años;Inmigraciones;83;
Adra;2021;Hombres;De 65 y más años;Inmigraciones;30;
Adra;2021;Hombres;TOTAL;Inmigraciones;428;
