Territorio;Características básicas de la explotación;Medida;Valor;
Alhama de Almería;Nº explotaciones;Conejas madre;0;
Alhama de Almería;Nº explotaciones;Colmenas;1;
Alhama de Almería;Cabezas;Equinos;0;
Alhama de Almería;Cabezas;Bovinos;0;
Alhama de Almería;Cabezas;Ovinos;200;
Alhama de Almería;Cabezas;Caprinos;121;
Alhama de Almería;Cabezas;Porcinos;0;
Alhama de Almería;Cabezas;Aves corral;10;
Alhama de Almería;Cabezas;Conejas madre;0;
Alhama de Almería;UGT;Colmenas;6;
Alhama de Almería;UGT;Equinos;0;
Alhama de Almería;UGT;Bovinos;0;
Alhama de Almería;UGT;Ovinos;20;
Alhama de Almería;UGT;Caprinos;12,1;
Alhama de Almería;UGT;Porcinos;0;
Alhama de Almería;UGT;Aves corral;0,14;
Alhama de Almería;UGT;Conejas madre;0;
Alicún;Nº explotaciones;Bovinos;0;
Alicún;Nº explotaciones;Ovinos;0;
Alicún;Nº explotaciones;Caprinos;0;
Alicún;Nº explotaciones;Porcinos;0;
Alicún;Nº explotaciones;Aves corral;1;
Alicún;Nº explotaciones;Conejas madre;0;
Alicún;Nº explotaciones;Colmenas;0;
Alicún;Cabezas;Equinos;0;
Alicún;Cabezas;Bovinos;0;
Alicún;Cabezas;Ovinos;0;
Alicún;Cabezas;Caprinos;0;
Alicún;Cabezas;Porcinos;0;
Alicún;Cabezas;Aves corral;13000;
Alicún;Cabezas;Conejas madre;0;
Alicún;UGT;Colmenas;0;
Alicún;UGT;Equinos;0;
Alicún;UGT;Bovinos;0;
Alicún;UGT;Ovinos;0;
Alicún;UGT;Caprinos;0;
Alicún;UGT;Porcinos;0;
Alicún;UGT;Aves corral;91;
Alicún;UGT;Conejas madre;0;
Almería (capital);Nº explotaciones;Bovinos;6;
Almería (capital);Nº explotaciones;Ovinos;17;
Almería (capital);Nº explotaciones;Caprinos;18;
Almería (capital);Nº explotaciones;Porcinos;3;
Almería (capital);Nº explotaciones;Aves corral;14;
Almería (capital);Nº explotaciones;Conejas madre;2;
Almería (capital);Nº explotaciones;Colmenas;2;
Almería (capital);Cabezas;Equinos;10;
Almería (capital);Cabezas;Bovinos;621;
Almería (capital);Cabezas;Ovinos;3293;
Almería (capital);Cabezas;Caprinos;2228;
Almería (capital);Cabezas;Porcinos;10;
Almería (capital);Cabezas;Aves corral;100;
Almería (capital);Cabezas;Conejas madre;5;
Almería (capital);UGT;Colmenas;320;
Almería (capital);UGT;Equinos;59;
Almería (capital);UGT;Bovinos;554,4;
Almería (capital);UGT;Ovinos;329,3;
Almería (capital);UGT;Caprinos;222,8;
Almería (capital);UGT;Porcinos;3,254;
Almería (capital);UGT;Aves corral;1,169;
Almería (capital);UGT;Conejas madre;0,1;
Almócita;Nº explotaciones;Bovinos;0;
Almócita;Nº explotaciones;Ovinos;1;
Almócita;Nº explotaciones;Caprinos;0;
Almócita;Nº explotaciones;Porcinos;1;
Almócita;Nº explotaciones;Aves corral;1;
Almócita;Nº explotaciones;Conejas madre;0;
Almócita;Nº explotaciones;Colmenas;0;
Almócita;Cabezas;Equinos;0;
Almócita;Cabezas;Bovinos;0;
Almócita;Cabezas;Ovinos;218;
Almócita;Cabezas;Caprinos;0;
Almócita;Cabezas;Porcinos;15;
Almócita;Cabezas;Aves corral;2566;
Almócita;Cabezas;Conejas madre;0;
Almócita;UGT;Colmenas;0;
Almócita;UGT;Equinos;0;
Almócita;UGT;Bovinos;0;
Almócita;UGT;Ovinos;21,8;
Almócita;UGT;Caprinos;0;
Almócita;UGT;Porcinos;6,627;
Almócita;UGT;Aves corral;35,924;
Almócita;UGT;Conejas madre;0;
Alsodux;Nº explotaciones;Bovinos;0;
Alsodux;Nº explotaciones;Ovinos;0;
Alsodux;Nº explotaciones;Caprinos;0;
Alsodux;Nº explotaciones;Porcinos;0;
Alsodux;Nº explotaciones;Aves corral;0;
Alsodux;Nº explotaciones;Conejas madre;0;
Alsodux;Nº explotaciones;Colmenas;0;
Alsodux;Cabezas;Equinos;0;
Alsodux;Cabezas;Bovinos;0;
Alsodux;Cabezas;Ovinos;0;
Alsodux;Cabezas;Caprinos;0;
Alsodux;Cabezas;Porcinos;0;
Alsodux;Cabezas;Aves corral;0;
Alsodux;Cabezas;Conejas madre;0;
Alsodux;UGT;Colmenas;0;
Alsodux;UGT;Equinos;0;
Alsodux;UGT;Bovinos;0;
Alsodux;UGT;Ovinos;0;
Alsodux;UGT;Caprinos;0;
Alsodux;UGT;Porcinos;0;
Alsodux;UGT;Aves corral;0;
Alsodux;UGT;Conejas madre;0;
Antas;Nº explotaciones;Bovinos;0;
Antas;Nº explotaciones;Ovinos;6;
Antas;Nº explotaciones;Caprinos;11;
Antas;Nº explotaciones;Porcinos;1;
Antas;Nº explotaciones;Aves corral;3;
Antas;Nº explotaciones;Conejas madre;0;
Antas;Nº explotaciones;Colmenas;2;
Antas;Cabezas;Equinos;3;
Antas;Cabezas;Bovinos;0;
Antas;Cabezas;Ovinos;1478;
Antas;Cabezas;Caprinos;1297;
Antas;Cabezas;Porcinos;1;
Antas;Cabezas;Aves corral;28;
Antas;Cabezas;Conejas madre;0;
Antas;UGT;Colmenas;45;
Antas;UGT;Equinos;9;
Antas;UGT;Bovinos;0;
Antas;UGT;Ovinos;147,8;
Antas;UGT;Caprinos;129,7;
Antas;UGT;Porcinos;0,3;
Antas;UGT;Aves corral;0,35;
Antas;UGT;Conejas madre;0;
Arboleas;Nº explotaciones;Bovinos;1;
Arboleas;Nº explotaciones;Ovinos;8;
Arboleas;Nº explotaciones;Caprinos;19;
Arboleas;Nº explotaciones;Porcinos;0;
Arboleas;Nº explotaciones;Aves corral;3;
Arboleas;Nº explotaciones;Conejas madre;0;
Arboleas;Nº explotaciones;Colmenas;7;
Arboleas;Cabezas;Equinos;8;
Arboleas;Cabezas;Bovinos;39;
Arboleas;Cabezas;Ovinos;540;
Arboleas;Cabezas;Caprinos;5320;
Arboleas;Cabezas;Porcinos;0;
Arboleas;Cabezas;Aves corral;20630;
Arboleas;Cabezas;Conejas madre;0;
Arboleas;UGT;Colmenas;487;
Arboleas;UGT;Equinos;12;
Arboleas;UGT;Bovinos;28,2;
Arboleas;UGT;Ovinos;54;
Arboleas;UGT;Caprinos;532;
Arboleas;UGT;Porcinos;0;
