Territorio;Tipo de entidad de credito;Medida;Valor;
Chirivel;Sucursales comunitarias;Nº de oficinas;-;
Chirivel;Establecimientos financieros de credito;Nº de oficinas;-;
Chirivel;TOTAL;Nº de oficinas;1;
Cóbdar;Bancos;Nº de oficinas;-;
Cóbdar;Cooperativas de credito;Nº de oficinas;-;
Cóbdar;Sucursales comunitarias;Nº de oficinas;-;
Cóbdar;Establecimientos financieros de credito;Nº de oficinas;-;
Cóbdar;TOTAL;Nº de oficinas;-;
Cuevas del Almanzora;Bancos;Nº de oficinas;3;
Cuevas del Almanzora;Cooperativas de credito;Nº de oficinas;4;
Cuevas del Almanzora;Sucursales comunitarias;Nº de oficinas;-;
Cuevas del Almanzora;Establecimientos financieros de credito;Nº de oficinas;-;
Cuevas del Almanzora;TOTAL;Nº de oficinas;7;
Dalías;Bancos;Nº de oficinas;1;
Dalías;Cooperativas de credito;Nº de oficinas;3;
Dalías;Sucursales comunitarias;Nº de oficinas;-;
Dalías;Establecimientos financieros de credito;Nº de oficinas;-;
Dalías;TOTAL;Nº de oficinas;4;
El Ejido;Bancos;Nº de oficinas;19;
El Ejido;Cooperativas de credito;Nº de oficinas;11;
El Ejido;Sucursales comunitarias;Nº de oficinas;-;
El Ejido;Establecimientos financieros de credito;Nº de oficinas;-;
El Ejido;TOTAL;Nº de oficinas;30;
Enix;Bancos;Nº de oficinas;-;
Enix;Cooperativas de credito;Nº de oficinas;-;
Enix;Sucursales comunitarias;Nº de oficinas;-;
Enix;Establecimientos financieros de credito;Nº de oficinas;-;
Enix;TOTAL;Nº de oficinas;-;
Felix;Bancos;Nº de oficinas;-;
Felix;Cooperativas de credito;Nº de oficinas;1;
Felix;Sucursales comunitarias;Nº de oficinas;-;
Felix;Establecimientos financieros de credito;Nº de oficinas;-;
Felix;TOTAL;Nº de oficinas;1;
Fines;Bancos;Nº de oficinas;1;
Fines;Cooperativas de credito;Nº de oficinas;1;
Fines;Sucursales comunitarias;Nº de oficinas;-;
Fines;Establecimientos financieros de credito;Nº de oficinas;-;
Fines;TOTAL;Nº de oficinas;2;
Fiñana;Bancos;Nº de oficinas;-;
Fiñana;Cooperativas de credito;Nº de oficinas;1;
Fiñana;Sucursales comunitarias;Nº de oficinas;-;
Fiñana;Establecimientos financieros de credito;Nº de oficinas;-;
Fiñana;TOTAL;Nº de oficinas;1;
Fondón;Bancos;Nº de oficinas;-;
Fondón;Cooperativas de credito;Nº de oficinas;1;
Fondón;Sucursales comunitarias;Nº de oficinas;-;
Fondón;Establecimientos financieros de credito;Nº de oficinas;-;
Fondón;TOTAL;Nº de oficinas;1;
Gádor;Bancos;Nº de oficinas;-;
Gádor;Cooperativas de credito;Nº de oficinas;1;
Gádor;Sucursales comunitarias;Nº de oficinas;-;
Gádor;Establecimientos financieros de credito;Nº de oficinas;-;
Gádor;TOTAL;Nº de oficinas;1;
Garrucha;Bancos;Nº de oficinas;5;
Garrucha;Cooperativas de credito;Nº de oficinas;1;
Garrucha;Sucursales comunitarias;Nº de oficinas;-;
Garrucha;Establecimientos financieros de credito;Nº de oficinas;-;
Garrucha;TOTAL;Nº de oficinas;6;
Gergal;Bancos;Nº de oficinas;-;
Gergal;Cooperativas de credito;Nº de oficinas;1;
Gergal;Sucursales comunitarias;Nº de oficinas;-;
Gergal;Establecimientos financieros de credito;Nº de oficinas;-;
Gergal;TOTAL;Nº de oficinas;1;
Huecija;Bancos;Nº de oficinas;-;
Huecija;Cooperativas de credito;Nº de oficinas;1;
Huecija;Sucursales comunitarias;Nº de oficinas;-;
Huecija;Establecimientos financieros de credito;Nº de oficinas;-;
Huecija;TOTAL;Nº de oficinas;1;
Huercal de Almería;Bancos;Nº de oficinas;3;
Huercal de Almería;Cooperativas de credito;Nº de oficinas;1;
Huercal de Almería;Sucursales comunitarias;Nº de oficinas;-;
Huercal de Almería;Establecimientos financieros de credito;Nº de oficinas;-;
Huercal de Almería;TOTAL;Nº de oficinas;4;
Huercal-Overa;Bancos;Nº de oficinas;4;
Huercal-Overa;Cooperativas de credito;Nº de oficinas;3;
Huercal-Overa;Sucursales comunitarias;Nº de oficinas;-;
Huercal-Overa;Establecimientos financieros de credito;Nº de oficinas;-;
Huercal-Overa;TOTAL;Nº de oficinas;7;
Íllar;Bancos;Nº de oficinas;-;
Íllar;Cooperativas de credito;Nº de oficinas;1;
Íllar;Sucursales comunitarias;Nº de oficinas;-;
Íllar;Establecimientos financieros de credito;Nº de oficinas;-;
Íllar;TOTAL;Nº de oficinas;1;
Instinción;Bancos;Nº de oficinas;-;
Instinción;Cooperativas de credito;Nº de oficinas;1;
Instinción;Sucursales comunitarias;Nº de oficinas;-;
Instinción;Establecimientos financieros de credito;Nº de oficinas;-;
Instinción;TOTAL;Nº de oficinas;1;
La Mojonera;Bancos;Nº de oficinas;3;
La Mojonera;Cooperativas de credito;Nº de oficinas;2;
La Mojonera;Sucursales comunitarias;Nº de oficinas;-;
La Mojonera;Establecimientos financieros de credito;Nº de oficinas;-;
La Mojonera;TOTAL;Nº de oficinas;5;
Laroya;Bancos;Nº de oficinas;-;
Laroya;Cooperativas de credito;Nº de oficinas;-;
Laroya;Sucursales comunitarias;Nº de oficinas;-;
Laroya;Establecimientos financieros de credito;Nº de oficinas;-;
Laroya;TOTAL;Nº de oficinas;-;
Las Tres Villas;Bancos;Nº de oficinas;-;
Las Tres Villas;Cooperativas de credito;Nº de oficinas;-;
Las Tres Villas;Sucursales comunitarias;Nº de oficinas;-;
Las Tres Villas;Establecimientos financieros de credito;Nº de oficinas;-;
Las Tres Villas;TOTAL;Nº de oficinas;-;
Laujar de Andarax;Bancos;Nº de oficinas;-;
Laujar de Andarax;Cooperativas de credito;Nº de oficinas;1;
Laujar de Andarax;Sucursales comunitarias;Nº de oficinas;-;
Laujar de Andarax;Establecimientos financieros de credito;Nº de oficinas;-;
Laujar de Andarax;TOTAL;Nº de oficinas;1;
Líjar;Bancos;Nº de oficinas;-;
Líjar;Cooperativas de credito;Nº de oficinas;-;
Líjar;Sucursales comunitarias;Nº de oficinas;-;
Líjar;Establecimientos financieros de credito;Nº de oficinas;-;
Líjar;TOTAL;Nº de oficinas;-;
Los Gallardos;Bancos;Nº de oficinas;-;
Los Gallardos;Cooperativas de credito;Nº de oficinas;1;
Los Gallardos;Sucursales comunitarias;Nº de oficinas;-;
Los Gallardos;Establecimientos financieros de credito;Nº de oficinas;-;
Los Gallardos;TOTAL;Nº de oficinas;1;
Lubrín;Bancos;Nº de oficinas;-;
Lubrín;Cooperativas de credito;Nº de oficinas;1;
Lubrín;Sucursales comunitarias;Nº de oficinas;-;
Lubrín;Establecimientos financieros de credito;Nº de oficinas;-;
Lubrín;TOTAL;Nº de oficinas;1;
Lucainena de las Torres;Bancos;Nº de oficinas;-;
Lucainena de las Torres;Cooperativas de credito;Nº de oficinas;-;
Lucainena de las Torres;Sucursales comunitarias;Nº de oficinas;-;
Lucainena de las Torres;Establecimientos financieros de credito;Nº de oficinas;-;
Lucainena de las Torres;TOTAL;Nº de oficinas;-;
Lúcar;Bancos;Nº de oficinas;-;
Lúcar;Cooperativas de credito;Nº de oficinas;-;
Lúcar;Sucursales comunitarias;Nº de oficinas;-;
Lúcar;Establecimientos financieros de credito;Nº de oficinas;-;
Lúcar;TOTAL;Nº de oficinas;-;
Macael;Bancos;Nº de oficinas;3;
Macael;Cooperativas de credito;Nº de oficinas;1;
Macael;Sucursales comunitarias;Nº de oficinas;-;
Macael;Establecimientos financieros de credito;Nº de oficinas;-;
Macael;TOTAL;Nº de oficinas;4;
María;Bancos;Nº de oficinas;-;
María;Cooperativas de credito;Nº de oficinas;1;
María;Sucursales comunitarias;Nº de oficinas;-;
María;Establecimientos financieros de credito;Nº de oficinas;-;
María;TOTAL;Nº de oficinas;1;
Mojácar;Bancos;Nº de oficinas;4;
Mojácar;Cooperativas de credito;Nº de oficinas;1;
Mojácar;Sucursales comunitarias;Nº de oficinas;-;
Mojácar;Establecimientos financieros de credito;Nº de oficinas;-;
Mojácar;TOTAL;Nº de oficinas;5;
Nacimiento;Bancos;Nº de oficinas;-;
Nacimiento;Cooperativas de credito;Nº de oficinas;1;
Nacimiento;Sucursales comunitarias;Nº de oficinas;-;
Nacimiento;Establecimientos financieros de credito;Nº de oficinas;-;
Nacimiento;TOTAL;Nº de oficinas;1;
Níjar;Bancos;Nº de oficinas;7;
Níjar;Cooperativas de credito;Nº de oficinas;8;
Níjar;Sucursales comunitarias;Nº de oficinas;-;
Níjar;Establecimientos financieros de credito;Nº de oficinas;-;
Níjar;TOTAL;Nº de oficinas;15;
Ohanes;Bancos;Nº de oficinas;-;
Ohanes;Cooperativas de credito;Nº de oficinas;1;
Ohanes;Sucursales comunitarias;Nº de oficinas;-;
Ohanes;Establecimientos financieros de credito;Nº de oficinas;-;
Ohanes;TOTAL;Nº de oficinas;1;
Olula de Castro;Bancos;Nº de oficinas;-;
Olula de Castro;Cooperativas de credito;Nº de oficinas;-;
Olula de Castro;Sucursales comunitarias;Nº de oficinas;-;
Olula de Castro;Establecimientos financieros de credito;Nº de oficinas;-;
Olula de Castro;TOTAL;Nº de oficinas;-;
Olula del Río;Bancos;Nº de oficinas;2;
Olula del Río;Cooperativas de credito;Nº de oficinas;1;
