Territorio;Medida;Valor;
Ohanes;Renta neta media por hogar;17440;
Ohanes;Renta bruta media por hogar;19766;
Ohanes;Renta por unidad de consumo;14060;
Olula de Castro;Renta neta media por persona;14445;
Olula de Castro;Renta bruta media por persona;16881;
Olula de Castro;Renta neta media por hogar;29832;
Olula de Castro;Renta bruta media por hogar;34864;
Olula de Castro;Renta por unidad de consumo;20139;
Olula del Río;Renta neta media por persona;10942;
Olula del Río;Renta bruta media por persona;12946;
Olula del Río;Renta neta media por hogar;27976;
Olula del Río;Renta bruta media por hogar;33100;
Olula del Río;Renta por unidad de consumo;16409;
Oria;Renta neta media por persona;9589;
Oria;Renta bruta media por persona;10857;
Oria;Renta neta media por hogar;20937;
Oria;Renta bruta media por hogar;23704;
Oria;Renta por unidad de consumo;14303;
Padules;Renta neta media por persona;12664;
Padules;Renta bruta media por persona;14623;
Padules;Renta neta media por hogar;23364;
Padules;Renta bruta media por hogar;26977;
Padules;Renta por unidad de consumo;16868;
Partaloa;Renta neta media por persona;8834;
Partaloa;Renta bruta media por persona;10129;
Partaloa;Renta neta media por hogar;19764;
Partaloa;Renta bruta media por hogar;22660;
Partaloa;Renta por unidad de consumo;14228;
Paterna del Río;Renta neta media por persona;10774;
Paterna del Río;Renta bruta media por persona;12243;
Paterna del Río;Renta neta media por hogar;18051;
Paterna del Río;Renta bruta media por hogar;20513;
Paterna del Río;Renta por unidad de consumo;13846;
Pechina;Renta neta media por persona;9741;
Pechina;Renta bruta media por persona;11221;
Pechina;Renta neta media por hogar;27002;
Pechina;Renta bruta media por hogar;31101;
Pechina;Renta por unidad de consumo;14920;
Pulpí;Renta neta media por persona;10199;
Pulpí;Renta bruta media por persona;12764;
Pulpí;Renta neta media por hogar;31448;
Pulpí;Renta bruta media por hogar;39357;
Pulpí;Renta por unidad de consumo;16944;
Purchena;Renta neta media por persona;11247;
Purchena;Renta bruta media por persona;13067;
Purchena;Renta neta media por hogar;24443;
Purchena;Renta bruta media por hogar;28401;
Purchena;Renta por unidad de consumo;16120;
Rágol;Renta neta media por persona;11503;
Rágol;Renta bruta media por persona;12965;
Rágol;Renta neta media por hogar;22184;
Rágol;Renta bruta media por hogar;25003;
Rágol;Renta por unidad de consumo;15244;
Rioja;Renta neta media por persona;9342;
Rioja;Renta bruta media por persona;10667;
Rioja;Renta neta media por hogar;25271;
Rioja;Renta bruta media por hogar;28855;
Rioja;Renta por unidad de consumo;14155;
Roquetas de Mar;Renta neta media por persona;10561;
Roquetas de Mar;Renta bruta media por persona;12632;
Roquetas de Mar;Renta neta media por hogar;29293;
