Territorio;Nacionalidad;Medida;Valor;
Alsodux;Española;Inmigraciones ;-;
Alsodux;Extranjera;Inmigraciones ;2;
Alsodux;Europa;Inmigraciones ;1;
Alsodux;UE27;Inmigraciones ;1;
Alsodux;Resto de Europa;Inmigraciones ;-;
Alsodux;África;Inmigraciones ;1;
Alsodux;África Norte;Inmigraciones ;1;
Alsodux;Sub-Sahara;Inmigraciones ;-;
Alsodux;Resto África;Inmigraciones ;-;
Alsodux;América;Inmigraciones ;-;
Alsodux;América Norte;Inmigraciones ;-;
Alsodux;Central-Caribe;Inmigraciones ;-;
Alsodux;América Sur;Inmigraciones ;-;
Alsodux;Asia;Inmigraciones ;-;
Alsodux;Próximo Oriente;Inmigraciones ;-;
Alsodux;Resto Asia;Inmigraciones ;-;
Alsodux;Oceanía;Inmigraciones ;-;
Alsodux;Apátridas;Inmigraciones ;-;
Alsodux;TOTAL;Inmigraciones ;2;
Antas;Española;Inmigraciones ;11;
Antas;Extranjera;Inmigraciones ;172;
Antas;Europa;Inmigraciones ;19;
Antas;UE27;Inmigraciones ;15;
Antas;Resto de Europa;Inmigraciones ;4;
Antas;África;Inmigraciones ;26;
Antas;África Norte;Inmigraciones ;17;
Antas;Sub-Sahara;Inmigraciones ;-;
Antas;Resto África;Inmigraciones ;9;
Antas;América;Inmigraciones ;124;
Antas;América Norte;Inmigraciones ;-;
Antas;Central-Caribe;Inmigraciones ;1;
Antas;América Sur;Inmigraciones ;123;
Antas;Asia;Inmigraciones ;3;
Antas;Próximo Oriente;Inmigraciones ;-;
Antas;Resto Asia;Inmigraciones ;3;
Antas;Oceanía;Inmigraciones ;-;
Antas;Apátridas;Inmigraciones ;-;
Antas;TOTAL;Inmigraciones ;183;
Arboleas;Española;Inmigraciones ;4;
Arboleas;Extranjera;Inmigraciones ;233;
Arboleas;Europa;Inmigraciones ;166;
Arboleas;UE27;Inmigraciones ;56;
Arboleas;Resto de Europa;Inmigraciones ;110;
Arboleas;África;Inmigraciones ;6;
Arboleas;África Norte;Inmigraciones ;6;
Arboleas;Sub-Sahara;Inmigraciones ;-;
Arboleas;Resto África;Inmigraciones ;-;
Arboleas;América;Inmigraciones ;59;
Arboleas;América Norte;Inmigraciones ;-;
Arboleas;Central-Caribe;Inmigraciones ;-;
Arboleas;América Sur;Inmigraciones ;59;
Arboleas;Asia;Inmigraciones ;2;
Arboleas;Próximo Oriente;Inmigraciones ;-;
Arboleas;Resto Asia;Inmigraciones ;2;
Arboleas;Oceanía;Inmigraciones ;-;
Arboleas;Apátridas;Inmigraciones ;-;
Arboleas;TOTAL;Inmigraciones ;237;
Armuña de Almanzora;Española;Inmigraciones ;-;
Armuña de Almanzora;Extranjera;Inmigraciones ;9;
Armuña de Almanzora;Europa;Inmigraciones ;2;
Armuña de Almanzora;UE27;Inmigraciones ;2;
Armuña de Almanzora;Resto de Europa;Inmigraciones ;-;
Armuña de Almanzora;África;Inmigraciones ;2;
Armuña de Almanzora;África Norte;Inmigraciones ;2;
Armuña de Almanzora;Sub-Sahara;Inmigraciones ;-;
Armuña de Almanzora;Resto África;Inmigraciones ;-;
Armuña de Almanzora;América;Inmigraciones ;5;
Armuña de Almanzora;América Norte;Inmigraciones ;1;
Armuña de Almanzora;Central-Caribe;Inmigraciones ;3;
Armuña de Almanzora;América Sur;Inmigraciones ;1;
Armuña de Almanzora;Asia;Inmigraciones ;-;
Armuña de Almanzora;Próximo Oriente;Inmigraciones ;-;
Armuña de Almanzora;Resto Asia;Inmigraciones ;-;
Armuña de Almanzora;Oceanía;Inmigraciones ;-;
Armuña de Almanzora;Apátridas;Inmigraciones ;-;
Armuña de Almanzora;TOTAL;Inmigraciones ;9;
Bacares;Española;Inmigraciones ;3;
Bacares;Extranjera;Inmigraciones ;1;
Bacares;Europa;Inmigraciones ;1;
Bacares;UE27;Inmigraciones ;1;
Bacares;Resto de Europa;Inmigraciones ;-;
Bacares;África;Inmigraciones ;-;
Bacares;África Norte;Inmigraciones ;-;
Bacares;Sub-Sahara;Inmigraciones ;-;
Bacares;Resto África;Inmigraciones ;-;
Bacares;América;Inmigraciones ;-;
Bacares;América Norte;Inmigraciones ;-;
Bacares;Central-Caribe;Inmigraciones ;-;
Bacares;América Sur;Inmigraciones ;-;
Bacares;Asia;Inmigraciones ;-;
Bacares;Próximo Oriente;Inmigraciones ;-;
Bacares;Resto Asia;Inmigraciones ;-;
Bacares;Oceanía;Inmigraciones ;-;
Bacares;Apátridas;Inmigraciones ;-;
Bacares;TOTAL;Inmigraciones ;4;
Balanegra;Española;Inmigraciones ;13;
Balanegra;Extranjera;Inmigraciones ;65;
Balanegra;Europa;Inmigraciones ;21;
Balanegra;UE27;Inmigraciones ;20;
Balanegra;Resto de Europa;Inmigraciones ;1;
Balanegra;África;Inmigraciones ;35;
Balanegra;África Norte;Inmigraciones ;19;
Balanegra;Sub-Sahara;Inmigraciones ;-;
Balanegra;Resto África;Inmigraciones ;16;
Balanegra;América;Inmigraciones ;9;
Balanegra;América Norte;Inmigraciones ;-;
Balanegra;Central-Caribe;Inmigraciones ;2;
Balanegra;América Sur;Inmigraciones ;7;
Balanegra;Asia;Inmigraciones ;-;
Balanegra;Próximo Oriente;Inmigraciones ;-;
Balanegra;Resto Asia;Inmigraciones ;-;
Balanegra;Oceanía;Inmigraciones ;-;
Balanegra;Apátridas;Inmigraciones ;-;
Balanegra;TOTAL;Inmigraciones ;78;
Bayárcal;Española;Inmigraciones ;1;
Bayárcal;Extranjera;Inmigraciones ;3;
Bayárcal;Europa;Inmigraciones ;-;
Bayárcal;UE27;Inmigraciones ;-;
Bayárcal;Resto de Europa;Inmigraciones ;-;
Bayárcal;África;Inmigraciones ;1;
Bayárcal;África Norte;Inmigraciones ;-;
Bayárcal;Sub-Sahara;Inmigraciones ;-;
Bayárcal;Resto África;Inmigraciones ;1;
Bayárcal;América;Inmigraciones ;2;
Bayárcal;América Norte;Inmigraciones ;-;
Bayárcal;Central-Caribe;Inmigraciones ;-;
Bayárcal;América Sur;Inmigraciones ;2;
Bayárcal;Asia;Inmigraciones ;-;
Bayárcal;Próximo Oriente;Inmigraciones ;-;
Bayárcal;Resto Asia;Inmigraciones ;-;
Bayárcal;Oceanía;Inmigraciones ;-;
Bayárcal;Apátridas;Inmigraciones ;-;
Bayárcal;TOTAL;Inmigraciones ;4;
Bayarque;Española;Inmigraciones ;-;
Bayarque;Extranjera;Inmigraciones ;12;
Bayarque;Europa;Inmigraciones ;1;
Bayarque;UE27;Inmigraciones ;1;
Bayarque;Resto de Europa;Inmigraciones ;-;
Bayarque;África;Inmigraciones ;-;
Bayarque;África Norte;Inmigraciones ;-;
Bayarque;Sub-Sahara;Inmigraciones ;-;
Bayarque;Resto África;Inmigraciones ;-;
Bayarque;América;Inmigraciones ;11;
Bayarque;América Norte;Inmigraciones ;-;
Bayarque;Central-Caribe;Inmigraciones ;9;
Bayarque;América Sur;Inmigraciones ;2;
Bayarque;Asia;Inmigraciones ;-;
Bayarque;Próximo Oriente;Inmigraciones ;-;
Bayarque;Resto Asia;Inmigraciones ;-;
Bayarque;Oceanía;Inmigraciones ;-;
Bayarque;Apátridas;Inmigraciones ;-;
Bayarque;TOTAL;Inmigraciones ;12;
Bédar;Española;Inmigraciones ;1;
Bédar;Extranjera;Inmigraciones ;40;
Bédar;Europa;Inmigraciones ;31;
Bédar;UE27;Inmigraciones ;6;
Bédar;Resto de Europa;Inmigraciones ;25;
Bédar;África;Inmigraciones ;1;
Bédar;África Norte;Inmigraciones ;1;
Bédar;Sub-Sahara;Inmigraciones ;-;
Bédar;Resto África;Inmigraciones ;-;
Bédar;América;Inmigraciones ;7;
Bédar;América Norte;Inmigraciones ;4;
Bédar;Central-Caribe;Inmigraciones ;-;
Bédar;América Sur;Inmigraciones ;3;
Bédar;Asia;Inmigraciones ;1;
Bédar;Próximo Oriente;Inmigraciones ;-;
Bédar;Resto Asia;Inmigraciones ;1;
Bédar;Oceanía;Inmigraciones ;-;
Bédar;Apátridas;Inmigraciones ;-;
Bédar;TOTAL;Inmigraciones ;41;
Beires;Española;Inmigraciones ;1;
Beires;Extranjera;Inmigraciones ;-;
Beires;Europa;Inmigraciones ;-;
Beires;UE27;Inmigraciones ;-;
Beires;Resto de Europa;Inmigraciones ;-;
Beires;África;Inmigraciones ;-;
Beires;África Norte;Inmigraciones ;-;
Beires;Sub-Sahara;Inmigraciones ;-;
Beires;Resto África;Inmigraciones ;-;
Beires;América;Inmigraciones ;-;
Beires;América Norte;Inmigraciones ;-;
Beires;Central-Caribe;Inmigraciones ;-;
Beires;América Sur;Inmigraciones ;-;
Beires;Asia;Inmigraciones ;-;
Beires;Próximo Oriente;Inmigraciones ;-;
Beires;Resto Asia;Inmigraciones ;-;
Beires;Oceanía;Inmigraciones ;-;
Beires;Apátridas;Inmigraciones ;-;
Beires;TOTAL;Inmigraciones ;1;
Benahadux;Española;Inmigraciones ;9;
Benahadux;Extranjera;Inmigraciones ;59;
Benahadux;Europa;Inmigraciones ;16;
Benahadux;UE27;Inmigraciones ;14;
Benahadux;Resto de Europa;Inmigraciones ;2;
Benahadux;África;Inmigraciones ;25;
Benahadux;África Norte;Inmigraciones ;25;
Benahadux;Sub-Sahara;Inmigraciones ;-;
Benahadux;Resto África;Inmigraciones ;-;
Benahadux;América;Inmigraciones ;18;
Benahadux;América Norte;Inmigraciones ;-;
Benahadux;Central-Caribe;Inmigraciones ;2;
Benahadux;América Sur;Inmigraciones ;16;
Benahadux;Asia;Inmigraciones ;-;
Benahadux;Próximo Oriente;Inmigraciones ;-;
Benahadux;Resto Asia;Inmigraciones ;-;
Benahadux;Oceanía;Inmigraciones ;-;
Benahadux;Apátridas;Inmigraciones ;-;
Benahadux;TOTAL;Inmigraciones ;68;
Benizalón;Española;Inmigraciones ;1;
Benizalón;Extranjera;Inmigraciones ;2;
Benizalón;Europa;Inmigraciones ;2;
Benizalón;UE27;Inmigraciones ;1;
Benizalón;Resto de Europa;Inmigraciones ;1;
Benizalón;África;Inmigraciones ;-;
Benizalón;África Norte;Inmigraciones ;-;
Benizalón;Sub-Sahara;Inmigraciones ;-;
Benizalón;Resto África;Inmigraciones ;-;
Benizalón;América;Inmigraciones ;-;
Benizalón;América Norte;Inmigraciones ;-;
Benizalón;Central-Caribe;Inmigraciones ;-;
Benizalón;América Sur;Inmigraciones ;-;
Benizalón;Asia;Inmigraciones ;-;
Benizalón;Próximo Oriente;Inmigraciones ;-;
Benizalón;Resto Asia;Inmigraciones ;-;
Benizalón;Oceanía;Inmigraciones ;-;
Benizalón;Apátridas;Inmigraciones ;-;
Benizalón;TOTAL;Inmigraciones ;3;
Berja;Española;Inmigraciones ;14;
Berja;Extranjera;Inmigraciones ;241;
Berja;Europa;Inmigraciones ;75;
Berja;UE27;Inmigraciones ;69;
Berja;Resto de Europa;Inmigraciones ;6;
Berja;África;Inmigraciones ;147;
Berja;África Norte;Inmigraciones ;105;
Berja;Sub-Sahara;Inmigraciones ;1;
Berja;Resto África;Inmigraciones ;41;
Berja;América;Inmigraciones ;17;
Berja;América Norte;Inmigraciones ;-;
Berja;Central-Caribe;Inmigraciones ;2;
Berja;América Sur;Inmigraciones ;15;
Berja;Asia;Inmigraciones ;2;
Berja;Próximo Oriente;Inmigraciones ;-;
Berja;Resto Asia;Inmigraciones ;2;
Berja;Oceanía;Inmigraciones ;-;
Berja;Apátridas;Inmigraciones ;-;
Berja;TOTAL;Inmigraciones ;255;
Canjáyar;Española;Inmigraciones ;2;
Canjáyar;Extranjera;Inmigraciones ;7;
Canjáyar;Europa;Inmigraciones ;5;
Canjáyar;UE27;Inmigraciones ;3;
Canjáyar;Resto de Europa;Inmigraciones ;2;
Canjáyar;África;Inmigraciones ;-;
Canjáyar;África Norte;Inmigraciones ;-;
Canjáyar;Sub-Sahara;Inmigraciones ;-;
Canjáyar;Resto África;Inmigraciones ;-;
Canjáyar;América;Inmigraciones ;2;
Canjáyar;América Norte;Inmigraciones ;-;
Canjáyar;Central-Caribe;Inmigraciones ;-;
Canjáyar;América Sur;Inmigraciones ;2;
Canjáyar;Asia;Inmigraciones ;-;
Canjáyar;Próximo Oriente;Inmigraciones ;-;
