Territorio;Tipo de instalación;Medida;Valor;
Alboloduy;Espacios pequeños y no reglamentarios;Espacios deportivos;1;
Alboloduy;Frontones;Espacios deportivos;-;
Alboloduy;Otros campos;Espacios deportivos;-;
Alboloduy;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Alboloduy;Polideportivos;Espacios deportivos;-;
Alboloduy;Piscinas aire libre;Espacios deportivos;1;
Alboloduy;Piscinas cubiertas;Espacios deportivos;-;
Alboloduy;Pistas de atletismo;Espacios deportivos;-;
Alboloduy;Pistas de padel;Espacios deportivos;-;
Alboloduy;Pistas de petanca;Espacios deportivos;-;
Alboloduy;Pistas de squash;Espacios deportivos;-;
Alboloduy;Pistas de tenis;Espacios deportivos;-;
Alboloduy;Pistas polideportivas;Espacios deportivos;-;
Alboloduy;Salas;Espacios deportivos;-;
Alboloduy;Velódromos;Espacios deportivos;-;
Alboloduy;Otros espacios convencionales;Espacios deportivos;-;
Alboloduy;Carriles de bicicleta;Espacios deportivos;-;
Alboloduy;Circuitos de velocidad;Espacios deportivos;-;
Alboloduy;Campos de golf;Espacios deportivos;-;
Alboloduy;Pistas de hípica;Espacios deportivos;-;
Alboloduy;Juegos tradicionales y populares;Espacios deportivos;-;
Alboloduy;Circuitos de karting;Espacios deportivos;-;
Alboloduy;Circuitos de motocross;Espacios deportivos;-;
Alboloduy;Rocódromos;Espacios deportivos;-;
Alboloduy;Pistas de esquí;Espacios deportivos;-;
Alboloduy;Campos de tiro;Espacios deportivos;-;
Alboloduy;Otros espacios singulares;Espacios deportivos;-;
Alboloduy;Áreas de actividad acuática;Espacios deportivos;-;
Alboloduy;Áreas de actividad aérea;Espacios deportivos;-;
Alboloduy;Áreas de actividad terrestre;Espacios deportivos;-;
Alboloduy;Total;Espacios deportivos;2;
Albox;Campos de fútbol;Espacios deportivos;-;
Albox;Espacios pequeños y no reglamentarios;Espacios deportivos;7;
Albox;Frontones;Espacios deportivos;-;
Albox;Otros campos;Espacios deportivos;2;
Albox;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Albox;Polideportivos;Espacios deportivos;1;
Albox;Piscinas aire libre;Espacios deportivos;4;
Albox;Piscinas cubiertas;Espacios deportivos;-;
Albox;Pistas de atletismo;Espacios deportivos;-;
Albox;Pistas de padel;Espacios deportivos;4;
Albox;Pistas de petanca;Espacios deportivos;4;
Albox;Pistas de squash;Espacios deportivos;1;
Albox;Pistas de tenis;Espacios deportivos;2;
Albox;Pistas polideportivas;Espacios deportivos;11;
Albox;Salas;Espacios deportivos;6;
Albox;Velódromos;Espacios deportivos;-;
Albox;Otros espacios convencionales;Espacios deportivos;-;
Albox;Carriles de bicicleta;Espacios deportivos;-;
Albox;Circuitos de velocidad;Espacios deportivos;-;
Albox;Campos de golf;Espacios deportivos;-;
Albox;Pistas de hípica;Espacios deportivos;-;
