Territorio;Medida;Contratos según tipo de jornada;Sexo;Valor;
Alcolea;Contratos;Temporales jornada completa;Mujeres;88;
Alcolea;Contratos;Temporales jornada completa;Ambos sexos;155;
Alcolea;Contratos;Temporales jornada parcial;Hombres;12;
Alcolea;Contratos;Temporales jornada parcial;Mujeres;20;
Alcolea;Contratos;Temporales jornada parcial;Ambos sexos;32;
Alcolea;Contratos;No especificado;Hombres;-;
Alcolea;Contratos;No especificado;Mujeres;-;
Alcolea;Contratos;No especificado;Ambos sexos;-;
Alcolea;Contratos;TOTAL;Hombres;145;
Alcolea;Contratos;TOTAL;Mujeres;141;
Alcolea;Contratos;TOTAL;Ambos sexos;286;
Alcóntar;Contratos;Contratos Indefinidos;Hombres;16;
Alcóntar;Contratos;Contratos Indefinidos;Mujeres;13;
Alcóntar;Contratos;Contratos Indefinidos;Ambos sexos;29;
Alcóntar;Contratos;Indefinidos jornada completa;Hombres;9;
Alcóntar;Contratos;Indefinidos jornada completa;Mujeres;7;
Alcóntar;Contratos;Indefinidos jornada completa;Ambos sexos;16;
Alcóntar;Contratos;Indefinidos jornada parcial;Hombres;1;
Alcóntar;Contratos;Indefinidos jornada parcial;Mujeres;2;
Alcóntar;Contratos;Indefinidos jornada parcial;Ambos sexos;3;
Alcóntar;Contratos;Indefinidos fijo discontinuo;Hombres;6;
Alcóntar;Contratos;Indefinidos fijo discontinuo;Mujeres;4;
Alcóntar;Contratos;Indefinidos fijo discontinuo;Ambos sexos;10;
Alcóntar;Contratos;Contratos Temporales;Hombres;19;
Alcóntar;Contratos;Contratos Temporales;Mujeres;51;
Alcóntar;Contratos;Contratos Temporales;Ambos sexos;70;
Alcóntar;Contratos;Temporales jornada completa;Hombres;15;
Alcóntar;Contratos;Temporales jornada completa;Mujeres;41;
Alcóntar;Contratos;Temporales jornada completa;Ambos sexos;56;
Alcóntar;Contratos;Temporales jornada parcial;Hombres;4;
Alcóntar;Contratos;Temporales jornada parcial;Mujeres;10;
Alcóntar;Contratos;Temporales jornada parcial;Ambos sexos;14;
Alcóntar;Contratos;No especificado;Hombres;-;
Alcóntar;Contratos;No especificado;Mujeres;-;
Alcóntar;Contratos;No especificado;Ambos sexos;-;
Alcóntar;Contratos;TOTAL;Hombres;35;
Alcóntar;Contratos;TOTAL;Mujeres;64;
Alcóntar;Contratos;TOTAL;Ambos sexos;99;
Alcudia de Monteagud;Contratos;Contratos Indefinidos;Hombres;10;
Alcudia de Monteagud;Contratos;Contratos Indefinidos;Mujeres;4;
Alcudia de Monteagud;Contratos;Contratos Indefinidos;Ambos sexos;14;
Alcudia de Monteagud;Contratos;Indefinidos jornada completa;Hombres;3;
Alcudia de Monteagud;Contratos;Indefinidos jornada completa;Mujeres;1;
Alcudia de Monteagud;Contratos;Indefinidos jornada completa;Ambos sexos;4;
Alcudia de Monteagud;Contratos;Indefinidos jornada parcial;Hombres;5;
Alcudia de Monteagud;Contratos;Indefinidos jornada parcial;Mujeres;3;
Alcudia de Monteagud;Contratos;Indefinidos jornada parcial;Ambos sexos;8;
Alcudia de Monteagud;Contratos;Indefinidos fijo discontinuo;Hombres;2;
Alcudia de Monteagud;Contratos;Indefinidos fijo discontinuo;Mujeres;-;
Alcudia de Monteagud;Contratos;Indefinidos fijo discontinuo;Ambos sexos;2;
Alcudia de Monteagud;Contratos;Contratos Temporales;Hombres;30;
Alcudia de Monteagud;Contratos;Contratos Temporales;Mujeres;11;
Alcudia de Monteagud;Contratos;Contratos Temporales;Ambos sexos;41;
Alcudia de Monteagud;Contratos;Temporales jornada completa;Hombres;27;
Alcudia de Monteagud;Contratos;Temporales jornada completa;Mujeres;7;
Alcudia de Monteagud;Contratos;Temporales jornada completa;Ambos sexos;34;
Alcudia de Monteagud;Contratos;Temporales jornada parcial;Hombres;3;
Alcudia de Monteagud;Contratos;Temporales jornada parcial;Mujeres;4;
Alcudia de Monteagud;Contratos;Temporales jornada parcial;Ambos sexos;7;
Alcudia de Monteagud;Contratos;No especificado;Hombres;1;
Alcudia de Monteagud;Contratos;No especificado;Mujeres;-;
Alcudia de Monteagud;Contratos;No especificado;Ambos sexos;1;
Alcudia de Monteagud;Contratos;TOTAL;Hombres;41;
Alcudia de Monteagud;Contratos;TOTAL;Mujeres;15;
Alcudia de Monteagud;Contratos;TOTAL;Ambos sexos;56;
Alhabia;Contratos;Contratos Indefinidos;Hombres;46;
Alhabia;Contratos;Contratos Indefinidos;Mujeres;23;
Alhabia;Contratos;Contratos Indefinidos;Ambos sexos;69;
Alhabia;Contratos;Indefinidos jornada completa;Hombres;13;
Alhabia;Contratos;Indefinidos jornada completa;Mujeres;6;
Alhabia;Contratos;Indefinidos jornada completa;Ambos sexos;19;
Alhabia;Contratos;Indefinidos jornada parcial;Hombres;9;
Alhabia;Contratos;Indefinidos jornada parcial;Mujeres;15;
Alhabia;Contratos;Indefinidos jornada parcial;Ambos sexos;24;
Alhabia;Contratos;Indefinidos fijo discontinuo;Hombres;24;
Alhabia;Contratos;Indefinidos fijo discontinuo;Mujeres;2;
Alhabia;Contratos;Indefinidos fijo discontinuo;Ambos sexos;26;
Alhabia;Contratos;Contratos Temporales;Hombres;12;
Alhabia;Contratos;Contratos Temporales;Mujeres;20;
Alhabia;Contratos;Contratos Temporales;Ambos sexos;32;
Alhabia;Contratos;Temporales jornada completa;Hombres;11;
Alhabia;Contratos;Temporales jornada completa;Mujeres;12;
Alhabia;Contratos;Temporales jornada completa;Ambos sexos;23;
Alhabia;Contratos;Temporales jornada parcial;Hombres;1;
Alhabia;Contratos;Temporales jornada parcial;Mujeres;8;
Alhabia;Contratos;Temporales jornada parcial;Ambos sexos;9;
Alhabia;Contratos;No especificado;Hombres;-;
Alhabia;Contratos;No especificado;Mujeres;-;
Alhabia;Contratos;No especificado;Ambos sexos;-;
Alhabia;Contratos;TOTAL;Hombres;58;
Alhabia;Contratos;TOTAL;Mujeres;43;
Alhabia;Contratos;TOTAL;Ambos sexos;101;
Alhama de Almería;Contratos;Contratos Indefinidos;Hombres;302;
Alhama de Almería;Contratos;Contratos Indefinidos;Mujeres;132;
Alhama de Almería;Contratos;Contratos Indefinidos;Ambos sexos;434;
Alhama de Almería;Contratos;Indefinidos jornada completa;Hombres;222;
Alhama de Almería;Contratos;Indefinidos jornada completa;Mujeres;57;
Alhama de Almería;Contratos;Indefinidos jornada completa;Ambos sexos;279;
Alhama de Almería;Contratos;Indefinidos jornada parcial;Hombres;14;
Alhama de Almería;Contratos;Indefinidos jornada parcial;Mujeres;34;
Alhama de Almería;Contratos;Indefinidos jornada parcial;Ambos sexos;48;
Alhama de Almería;Contratos;Indefinidos fijo discontinuo;Hombres;66;
Alhama de Almería;Contratos;Indefinidos fijo discontinuo;Mujeres;41;
Alhama de Almería;Contratos;Indefinidos fijo discontinuo;Ambos sexos;107;
Alhama de Almería;Contratos;Contratos Temporales;Hombres;115;
Alhama de Almería;Contratos;Contratos Temporales;Mujeres;190;
Alhama de Almería;Contratos;Contratos Temporales;Ambos sexos;305;
Alhama de Almería;Contratos;Temporales jornada completa;Hombres;95;
