Territorio;Tipo de centros asistenciales;Medida;Valor;
Arboleas;Otros;Nº centros;-;
Arboleas;Otros;Plazas;-;
Arboleas;Otros;Superficie cubierta;-;
Arboleas;Otros;Superficie aire libre;-;
Arboleas;Otros;Superficie solar;-;
Arboleas;TOTAL;Nº centros;1;
Arboleas;TOTAL;Plazas;110;
Arboleas;TOTAL;Superficie cubierta;415;
Arboleas;TOTAL;Superficie aire libre;339;
Arboleas;TOTAL;Superficie solar;782;
Armuña de Almanzora;Centro de asistencia social;Nº centros;-;
Armuña de Almanzora;Centro de asistencia social;Plazas;-;
Armuña de Almanzora;Centro de asistencia social;Superficie cubierta;-;
Armuña de Almanzora;Centro de asistencia social;Superficie aire libre;-;
Armuña de Almanzora;Centro de asistencia social;Superficie solar;-;
Armuña de Almanzora;Residencia de ancianos;Nº centros;-;
Armuña de Almanzora;Residencia de ancianos;Plazas;-;
Armuña de Almanzora;Residencia de ancianos;Superficie cubierta;-;
Armuña de Almanzora;Residencia de ancianos;Superficie aire libre;-;
Armuña de Almanzora;Residencia de ancianos;Superficie solar;-;
Armuña de Almanzora;Guarderías infantiles;Nº centros;-;
Armuña de Almanzora;Guarderías infantiles;Plazas;-;
Armuña de Almanzora;Guarderías infantiles;Superficie cubierta;-;
Armuña de Almanzora;Guarderías infantiles;Superficie aire libre;-;
Armuña de Almanzora;Guarderías infantiles;Superficie solar;-;
Armuña de Almanzora;Albergues municipales;Nº centros;-;
Armuña de Almanzora;Albergues municipales;Plazas;-;
Armuña de Almanzora;Albergues municipales;Superficie cubierta;-;
Armuña de Almanzora;Albergues municipales;Superficie aire libre;-;
Armuña de Almanzora;Albergues municipales;Superficie solar;-;
Armuña de Almanzora;Rehabilitación toxicómanos;Nº centros;-;
Armuña de Almanzora;Rehabilitación toxicómanos;Plazas;-;
Armuña de Almanzora;Rehabilitación toxicómanos;Superficie cubierta;-;
Armuña de Almanzora;Rehabilitación toxicómanos;Superficie aire libre;-;
Armuña de Almanzora;Rehabilitación toxicómanos;Superficie solar;-;
Armuña de Almanzora;Otros;Nº centros;1;
Armuña de Almanzora;Otros;Plazas;16;
Armuña de Almanzora;Otros;Superficie cubierta;252;
Armuña de Almanzora;Otros;Superficie aire libre;0;
Armuña de Almanzora;Otros;Superficie solar;252;
Armuña de Almanzora;TOTAL;Nº centros;1;
Armuña de Almanzora;TOTAL;Plazas;16;
Armuña de Almanzora;TOTAL;Superficie cubierta;252;
Armuña de Almanzora;TOTAL;Superficie aire libre;0;
Armuña de Almanzora;TOTAL;Superficie solar;252;
Bacares;Centro de asistencia social;Nº centros;-;
Bacares;Centro de asistencia social;Plazas;-;
Bacares;Centro de asistencia social;Superficie cubierta;-;
Bacares;Centro de asistencia social;Superficie aire libre;-;
Bacares;Centro de asistencia social;Superficie solar;-;
Bacares;Residencia de ancianos;Nº centros;1;
Bacares;Residencia de ancianos;Plazas;19;
Bacares;Residencia de ancianos;Superficie cubierta;1432;
Bacares;Residencia de ancianos;Superficie aire libre;122;
Bacares;Residencia de ancianos;Superficie solar;480;
Bacares;Guarderías infantiles;Nº centros;-;
Bacares;Guarderías infantiles;Plazas;-;
Bacares;Guarderías infantiles;Superficie cubierta;-;
Bacares;Guarderías infantiles;Superficie aire libre;-;
Bacares;Guarderías infantiles;Superficie solar;-;
Bacares;Albergues municipales;Nº centros;-;
Bacares;Albergues municipales;Plazas;-;
Bacares;Albergues municipales;Superficie cubierta;-;
Bacares;Albergues municipales;Superficie aire libre;-;
Bacares;Albergues municipales;Superficie solar;-;
Bacares;Rehabilitación toxicómanos;Nº centros;-;
Bacares;Rehabilitación toxicómanos;Plazas;-;
Bacares;Rehabilitación toxicómanos;Superficie cubierta;-;
Bacares;Rehabilitación toxicómanos;Superficie aire libre;-;
Bacares;Rehabilitación toxicómanos;Superficie solar;-;
Bacares;Otros;Nº centros;-;
Bacares;Otros;Plazas;-;
Bacares;Otros;Superficie cubierta;-;
Bacares;Otros;Superficie aire libre;-;
Bacares;Otros;Superficie solar;-;
Bacares;TOTAL;Nº centros;1;
Bacares;TOTAL;Plazas;19;
Bacares;TOTAL;Superficie cubierta;1432;
Bacares;TOTAL;Superficie aire libre;122;
Bacares;TOTAL;Superficie solar;480;
Balanegra;Centro de asistencia social;Nº centros;-;
Balanegra;Centro de asistencia social;Plazas;-;
Balanegra;Centro de asistencia social;Superficie cubierta;-;
Balanegra;Centro de asistencia social;Superficie aire libre;-;
Balanegra;Centro de asistencia social;Superficie solar;-;
Balanegra;Residencia de ancianos;Nº centros;-;
Balanegra;Residencia de ancianos;Plazas;-;
Balanegra;Residencia de ancianos;Superficie cubierta;-;
Balanegra;Residencia de ancianos;Superficie aire libre;-;
Balanegra;Residencia de ancianos;Superficie solar;-;
Balanegra;Guarderías infantiles;Nº centros;2;
Balanegra;Guarderías infantiles;Plazas;127;
Balanegra;Guarderías infantiles;Superficie cubierta;546;
Balanegra;Guarderías infantiles;Superficie aire libre;80;
Balanegra;Guarderías infantiles;Superficie solar;626;
Balanegra;Albergues municipales;Nº centros;-;
Balanegra;Albergues municipales;Plazas;-;
Balanegra;Albergues municipales;Superficie cubierta;-;
Balanegra;Albergues municipales;Superficie aire libre;-;
Balanegra;Albergues municipales;Superficie solar;-;
Balanegra;Rehabilitación toxicómanos;Nº centros;-;
Balanegra;Rehabilitación toxicómanos;Plazas;-;
Balanegra;Rehabilitación toxicómanos;Superficie cubierta;-;
Balanegra;Rehabilitación toxicómanos;Superficie aire libre;-;
Balanegra;Rehabilitación toxicómanos;Superficie solar;-;
Balanegra;Otros;Nº centros;-;
Balanegra;Otros;Plazas;-;
Balanegra;Otros;Superficie cubierta;-;
Balanegra;Otros;Superficie aire libre;-;
Balanegra;Otros;Superficie solar;-;
Balanegra;TOTAL;Nº centros;2;
Balanegra;TOTAL;Plazas;127;
Balanegra;TOTAL;Superficie cubierta;546;
Balanegra;TOTAL;Superficie aire libre;80;
Balanegra;TOTAL;Superficie solar;626;
Bayarque;Centro de asistencia social;Nº centros;-;
Bayarque;Centro de asistencia social;Plazas;-;
Bayarque;Centro de asistencia social;Superficie cubierta;-;
Bayarque;Centro de asistencia social;Superficie aire libre;-;
Bayarque;Centro de asistencia social;Superficie solar;-;
Bayarque;Residencia de ancianos;Nº centros;-;
Bayarque;Residencia de ancianos;Plazas;-;
Bayarque;Residencia de ancianos;Superficie cubierta;-;
Bayarque;Residencia de ancianos;Superficie aire libre;-;
Bayarque;Residencia de ancianos;Superficie solar;-;
Bayarque;Guarderías infantiles;Nº centros;-;
Bayarque;Guarderías infantiles;Plazas;-;
Bayarque;Guarderías infantiles;Superficie cubierta;-;
Bayarque;Guarderías infantiles;Superficie aire libre;-;
Bayarque;Guarderías infantiles;Superficie solar;-;
Bayarque;Albergues municipales;Nº centros;-;
Bayarque;Albergues municipales;Plazas;-;
Bayarque;Albergues municipales;Superficie cubierta;-;
Bayarque;Albergues municipales;Superficie aire libre;-;
Bayarque;Albergues municipales;Superficie solar;-;
Bayarque;Rehabilitación toxicómanos;Nº centros;-;
Bayarque;Rehabilitación toxicómanos;Plazas;-;
Bayarque;Rehabilitación toxicómanos;Superficie cubierta;-;
Bayarque;Rehabilitación toxicómanos;Superficie aire libre;-;
Bayarque;Rehabilitación toxicómanos;Superficie solar;-;
